fauth,year,doi,Publication type,Study Level,Sample size - N,Sample size - p,Sample size - r,data source,Basis nature,"Methods to pick n. of basis/k/knots position, ecc...",Data object of interest,data_type,Domain of the function(s),domain,Registration/alignement/warping,Medical discipline,Reference disease/condition,Variable of interest (outcome),outcome_type,Level of functional observation,Setting,Tasks,Tools (named in the main text),Language of the software for implementation,Techniques ,tech,Using FDA for,Reporting
Boland,2025,10.1007/s12561-025-09497-2,oa-m,new methods,37,128,120,secondary,B-splines,not reported,Event-Related Potentials (ERP),exam,time,time,not reported,neuro,autism,/,/,pat,lab,description,in-house,R,B-LFPCA,fPCA,description,"text, 2d-plot"
Lazzari,2025,10.1109/JBHI.2024.3522485,oa-m,showcase,50,/,64,public,B-splines o3,reported,Event-Related Potentials (ERP),exam,time,time,reported,neuro,hc,/,/,sub-pat,lab,compare,scikit-fda,python,"functional boxplots, fANOVA","functional boxplots, fANOVA",inference,"text, 2d-plot"
Wang,2025,10.1007/s12561-025-09511-7,oa-m,new methods,24,/,30,secondary,splines,reported,cumulative event counts,clin,time,time,not reported,Sports Physiatry and Orthopedics,trauma,/,/,grp,practice,description,mgcv,R,functional mixed model,functional mixed model,inference,"text, 2d-plot"
Brabec,2025,10.1186/s13104-025-07115-4,oa,showcase,63,/,/,primary,tp,not reported,retinal light,ad-hoc,time,time,not reported,oftalmo,ADHD,diagnosis,binary,pat,lab,compare,"mgcv, rstan","R, Stan",multivariate bayesian model,multivariate bayesian model,inference,"text, 2d-plot"
Guo,2025,10.1002/sim.70105,oa-m,new methods,607,/,5,public,splines,not reported,latent -omic factors,htt,time,time,not reported,neuro,Alzheimer,death,binary,pat,lab,prediction,"splines, rstan",Stan,functional mixed model,functional mixed model,prediction,text
Liang,2025,10.1186/s13040-025-00424-1,oa-m,new methods,/,/,/,public,/,not reported,accelerometer,sens,time,time,not reported,"nutrition, physiology",hc,/,/,sub-pat,practice,description,/,/,elastic distance-based motif clustering,elastic distance-based motif clustering,description,"text, 2d-plot"
Zhang,2025,10.1609/aaai.v39i21.34394,conference paper,new methods,20,200,10,public,/,not reported,angular displacements,ad-hoc,completion,time_var,not reported,Sports Physiatry and Orthopedics,brace leg,/,/,sub-pat,lab,description,in-house,python,CFPC,fPCA_alt,description,"text, 2d-plot"
Agonkoui,2025,10.1109/ACDSA65407.2025.11166216,conference paper,new methods,47,/,4,public,B-splines,not reported,cells,lab,space,2d3dspace,not reported,pneumo,NSCLC,diagnosis,binary,pat,lab,classification,mxFDA,"R, python","Ripley’s G, fPCA","Ripley’s G, fPCA",inference,"text, 2d-plot, performance"
Wang,2025,10.1080/10618600.2025.2551268,oa-m,new methods,183,232,116,public,B-splines o4,not reported,fMRI,htt,space and time,biv,not reported,radiology,ADHD,diagnosis,binary,sub-pat,lab,classification,"in-house, pytorch",python,deep neural network for functional graphical model,deep neural network for functional graphical model,inference,"text, 2d-plot, performance"
Ghosal,2025,10.1016/j.csda.2025.108131,oa-m,new methods,296,/,/,public,/,not reported,glycemic levels,sens,time,time,not reported,endo,DM,death,binary,pat,lab,estimate associations,in-house,R,Functional time transformation model,Functional time transformation model,inference,"text, 2d-plot"
Matijošius,2025,10.3390/app152111519,oa,production,/,/,3,primary,B-splines,GCV,fNIRS,exam,time,time,not reported,hemodynamic,Patent Ductus Artetiosus,/,/,pat,lab,classification,"zoo, fda.usc",R,pointwise ANOVA and Tukey HSD,"fANOVA, Tukey HSD",inference,"text, 2d-plot"
Tian,2024,10.1093/biostatistics/kxaf043,oa-m,new methods,143963,/,/,public,splines,not reported,estimated effect,clin,alcohol intake,other,not reported,internal,hc,systolic blood pressure,continous,pat,lab,estimate associations,SSS,R,SSS,SSS,inference,"text, 2d-plot"
Kwan,2024,10.1007/s12561-023-09399-1,oa-m,new methods,399,,16,primary,/,not reported,looking time,ad-hoc,repetitions,time_var,not reported,psycology,autism,diagnosis,binary,pat,lab,compare,/,/,constrained multivariate fPCA,fPCA_alt,inference,"text, 2d-plot"
Tengman,2024,10.1080/14763141.2022.2054856,oa,production,70,/,4,primary,/,not reported,force,ad-hoc,time,time,not reported,Sports Physiatry and Orthopedics,injury,anterior cruciate ligament injury,binary,pat,practice,compare,fdatest,R,IWT,IWT,inference,"text, 2d-plot"
Hook,2024,10.1111/sms.14761,oa,production,66,/,/,primary,B-splines,GCV,force,ad-hoc,time,time,reported,Sports Physiatry and Orthopedics,hc,/,/,pat,practice,description,/,R,fPCA,fPCA,description,"text, 2d-plot"
Smirnova,2024,10.1002/sim.10194,oa-m,new methods,3049,200,/,public,/,not reported,accelerometer,sens,time,time,not reported,internal,hc,death,binary,sub-pat,lab,estimate associations,/,R,/,/,inference,"text, 2d-plot"
Tang,2024,10.1016/j.compbiomed.2024.109076,oa-m,new methods,219,2100,3,secondary,gaussian functions,reported,photopletismography,sens,time,time,not reported,internal,hypertension,/,/,sub-pat,lab,description,/,/,/,/,description,"text, 2d-plot, performance"
Jansen,2024,10.1016/j.cdnut.2024.103071,abstract,production,/,/,/,secondary,PACE,reported/implicit,glycemic levels,lab,time,time,not reported,internal,pregnancy,/,/,pat,practice,compare,"fda, fdapace",R,PACE,PACE,inference,text
Alhaj,2024,10.1192/bjo.2024.105,abstract,production,147,/,1,primary,/,not reported,cortisol levels,lab,time,time,not reported,psycology,depression,diagnosis,binary,pat,practice,estimate associations,/,/,/,/,inference,text
Jain,2024,10.1093/bib/bbae339,oa-m,new methods,90,15000,8,secondary,B-splines o3,not reported,omic,htt,time,time,not reported,"gastro, genetics",IBD,diagnosis,binary,pat,lab,classification,in-house,"R, python",DeepIDA-GRU,DeepIDA-GRU,inference,"text, 2d-plot"
Xia,2024,10.3390/s24102970,oa-m,new methods,10,/,1,primary,B-splines,not reported,heart rate,sens,time,time,not reported,cardio,hc,/,/,sub-pat,lab,description,in-house,"R, python",functional mean,functional mean,description,"text, 2d-plot"
Patel,2024,10.1016/S0167-8140(24)00928-9,abstract,production,184,/,1,primary,/,not reported,RT dose,exam,volume,2d3dspace,not reported,oncology and radiation oncology,cancer,complications,binary,pat,practice,prediction,/,/,/,/,inference,"text, 2d-plot, performance"
Godbole,2024,10.1159/000538561,oa,showcase,84,400,1,primary,/,not reported,pupillary size change,ad-hoc,time,time,not reported,"legal, pharma, oftalmo",hc,cannabis use,binary,pat,lab,classification,refund,R,functional logistic regression,generalized functional regression,inference,"text, 2d-plot"
Liu,2024,10.1007/s12561-023-09393-7,oa-m,new methods,18,816,1,primary,B-splines o4,not reported,NO2 concentration,lab,time,time,reported,pneumo,COPD,incidence,proportion,grp,practice,estimate associations,/,R,/,/,inference,"text, 2d-plot"
Dai,2024,10.1002/sim.10009,oa,showcase,/,/,/,primary,/,not reported,RNA concentration,lab,time,time,not reported,infec,COVID-19,incidence,proportion,grp,practice,estimate associations,refund,R,"Bayesian generalized functional regression, fPCA","generalized functional regression, fPCA",inference,"text, 2d-plot"
Nakashima,2024,10.1536/ihj.23-659,oa,production,1816,/,/,primary,splines,not reported,lactate levels,lab,time,time,not reported,cardio,CVD,/,/,pat,practice,prediction,in-house,R,functional mixed model,functional mixed model,inference,"text, 2d-plot"
Ghasemi Dehcheshmeh,2024,10.1016/j.jmpt.2024.08.017,oa,production,40,/,4,primary,/,not reported,angular displacements,ad-hoc,completion,time_var,not reported,Sports Physiatry and Orthopedics,back pain,diagnosis,binary,pat,lab,compare,SCBmeanfd,"R, Matlab, SPSS",fPCA,fPCA,inference,"text, 2d-plot"
Mitsuda,2024,10.1007/s42081-024-00245-2,oa-m,new methods,/,/,/,public,B-splines,not reported,predicted energy,clin,time,time,not reported,epidemiology and public health,hc,death,binary,pat,lab,prediction,"fda, forecast",R,fPCA,fPCA,inference,"text, 2d-plot, performance"
Winer,2024,10.1186/s13195-024-01411-0,oa,production,82829,/,/,public,fourier,not reported,accelerometer,sens,time,time,not reported,neuro,"Alzheimer, Parkinson, cognitive decline",cognitive test score,continous,pat,lab,"estimate associations, classification","cosinor, nparACT, fpca","R, python",fPCA,fPCA,inference,"text, 2d-plot"
Gomon,2024,10.1177/09622802231224631,oa-m,new methods,1643,4,1,public,/,not reported,multiple biomarkers,lab,time,time,reported,neuro,Alzheimer,diagnosis,binary,pat,lab,estimate associations,"glmnet, MFPCA, mgcv",R,fPCA,fPCA,inference,"text, 2d-plot"
Li,2024,10.1214/23-aoas1808,oa-m,new methods,606,/,/,public,/,not reported,hippocamus shape and size from surface,htt,space,2d3dspace,not reported,neuro,Alzheimer,diagnosis,binary,pat,lab,"estimate associations, classification",/,R,partially functional linear regression,registration,inference,"text, 3d-plot"
Rutikanga,2024,10.4236/ojs.2024.141007,oa,production,297,96,1,primary,/,not reported,blood preassure,exam,time,time,not reported,cardio,stroke,composite stroke recurrent event,binary,pat,practice,estimate associations,/,/,Conditional Extreme Quantile,Conditional Extreme Quantile,inference,"text, 2d-plot, performance"
Kao,2024,10.1016/j.csda.2023.107850,oa-m,new methods,283,51,1,public,PACE,reported/implicit,CD4 counts,lab,time,time,not reported,infec,AIDS,/,/,pat,practice,description,fdapace,R,PACE,PACE,description,text
Kuryło,2024,10.59170/stattrans-2024-021,oa-m,new methods,17,96,4,public,/,not reported,fractional anisotropy (DTI),exam,time,time,not reported,radiology,MS,/,/,pat,lab,compare,refund,R,fANOVA,fANOVA,inference,"text, 2d-plot, performance"
Carmisciano,2024,10.1109/ISCC61673.2024.10733576,conference paper,showcase,15,210000,3,public,B-splines,reported,heart rate,sens,time,time,reported,cardio,hc,stress,binary,pat,lab,"estimate associations, pattern recognition","fda, refund","R, python","k-mean clustering, sofr","K-mean clustering, sofr",description,"text, 2d-plot, performance"
Liang,2024,10.1007/s11222-024-10521-6,oa-m,new methods,/,/,/,public,/,not reported,risk (effect),clin,time,time,not reported,epidemiology and public health,smoking,smoking cessation,binary,pat,practice,"estimate associations, pattern recognition",in-house,R,temporal random partition model,temporal random partition model,inference,"text, 2d-plot, performance"
Okada,2023,10.1186/s40246-023-00453-z,oa,showcase,730,479461,1,public,splines,reported/implicit,metiloma,htt,space,2d3dspace,not reported,genetics,hc,aging,continous,pat,lab,estimate associations,fdapace,R,PACE,PACE,inference,text
Franchi de'Cavalieri,2023,10.1186/s12984-023-01182-z,oa,production,17,190,1,primary,splines,not reported,body asimetry index,ad-hoc,time,time,not reported,pedia,brain damage,clinical assessment score,continous,pat,lab,estimate associations,in-house,Matlab,sofr,sofr,inference,"text, table, 2d-plot, performance"
Huang,2023,10.1016/j.ssmph.2023.101536,oa,production,10348,/,/,public,splines,not reported,accelerometer,sens,time,time,not reported,internal,hc,gender,binary,sub-pat,lab,compare,mgcv,"R, STATA",sofr,sofr,inference,"text, 2d-plot"
Porreca,2023,10.1016/j.jiph.2023.08.025,oa,production,20,6,1,secondary,B-splines,reported,vaccination coverage,clin,time,time,reported,"epidemiology and public health, infec",flu,/,/,grp,practice,"description, pattern recognition","fda, fda.usc",R,fuzzy functional K-mean clustering,K-mean clustering,description,"text, 2d-plot"
Abbas,2023,10.1161/circ.148.suppl_1.17465,abstract,production,4194,/,1,secondary,/,not reported,heart rate,sens,time,time,not reported,cardio,coronary artery bypass grafting,ICU LoS,continous,pat,practice,pattern recognition,/,/,k-mean clustering,K-mean clustering,description,text
Biswas,2023,10.1186/s12874-023-02063-8,oa-m,new methods,184,96,1,public,/,not reported,nugent score,clin,time,time,not reported,"gyneco, infec, anatopato",vaginal infection,/,/,pat,lab,"pattern recognition, classification",,/,"fPCA, hierarchical functional clustering ","fPCA, hierarchical clustering",description,"text, performance"
Jašková,2023,10.1177/09622802231192949,oa-m,new methods,74,/,1,secondary,B-splines,not reported,accelerometer,sens,time,time,not reported,"pedia, endo",hc,adiposity,continous,pat,lab,estimate associations,/,R,"sofr, compositional scalar-on-function regression, fPCA","sofr, generalized functional regression, fPCA",inference,"text, 2d-plot"
Liu,2023,10.1109/JBHI.2023.3283188,oa,production,52,200,16,primary,"B-splines, fourier",not reported,needle angle,ad-hoc,time,time,reported,nurse,hc,outcome score,continous,pat,lab,compare,/,/,"fPCA, fuzzy functional K-mean clustering","fPCA, K-mean clustering",inference,"text, 2d-plot"
Zhang,2023,10.1111/biom.13744,oa-m,new methods,7313,/,/,public,B-splines,reported,bmi,clin,time,time,not reported,pedia,pregnancy,/,/,pat,practice,estimate associations,/,R,"fPCA, fosr","fPCA, fosr",inference,"text, 2d-plot"
Sikdar,2023,,protocol,production,96,/,/,primary,/,not reported,imaging biomarkers,exam,time,time,not reported,Sports Physiatry and Orthopedics,Myofascial pain syndrome,clinical phenotypes,multilevel,pat,practice,"pattern recognition, classification",/,/,/,/,description,text
Kinsella,2023,10.1016/j.ajt.2023.05.014,abstract,showcase,2557,/,/,primary,/,not reported,eGFR,clin,time,time,not reported,nephro,kidney transplant,death,binary,pat,practice,"pattern recognition, classification",/,/,/,/,description,"text, 2d-plot"
Strasser,2023,,abstract,showcase,23,6,1,primary,/,not reported,ciliary muscle thikness,ad-hoc,time,time,not reported,oftalmo,myopia,visus progression,continous,pat,lab,estimate associations,/,/,/,/,inference,text
Feig,2023,,protocol,production,/,150,/,primary,/,not reported,glycemic levels,sens,time,time,not reported,"endo, gyneco","pregnancy, DM",time in range,continous,pat,practice,classification,/,/,/,/,description,text
Li,2023,10.1186/s12916-023-02773-2,oa,production,1897,8,3,primary,PACE,reported/implicit,"CEA, CA19-9, CA125",lab,time,time,not reported,oncology and radiation oncology,CRC,death,binary,pat,practice,prediction,"fdapace, MFPCA",R,"Multivariate fPCA, PACE","fPCA, PACE",inference,"text, performance"
Matabuena,2023,10.1038/s41598-023-40949-1,oa,production,583,18,1,primary,/,not reported,glycemic levels,sens,time,time,not reported,endo,DM,/,/,pat,practice,pattern recognition,"refund, I2C2",R,fICC,fICC,inference,"text, performance"
Ford,2023,10.1093/cercor/bhad277,oa,production,78,2,1,primary,/,not reported,white matter lateralization size,htt,age,time_var,not reported,radiology,infancy,lateralization,binary,pat,lab,pattern recognition,in-house,Matlab,fPCA,fPCA,description,"text, 2d-plot"
Zhu,2023,10.1002/hbm.26271,oa,production,388,2,3,primary,/,not reported,"spinal fluid volumes (pCSF), grey matter (pGM), and white matter (pWM)",exam,age,time_var,not reported,neuro,infancy,meternal education,binary,pat,lab,compare,RFPCA,R,fPCA,fPCA,inference,"text, 2d-plot"
Brabec,2023,10.1186/s13104-023-06535-4,oa,production,50,20,1,primary,splines,not reported,retinogram aplitude,ad-hoc,time,time,reported,oftalmo,autism,diagnosis,binary,pat,practice,compare,in-house,R,/,/,inference,"text, 2d-plot"
Masala,2023,10.1186/s13058-023-01624-5,oa,production,5262,4,1,secondary,/,not reported,breast density,clin,time,time,not reported,oncology and radiation oncology,breast cancer,BMI,continous,pat,practice,estimate associations,fda,R,fosr,fosr,inference,"text, 2d-plot"
Masiero,2023,10.1109/tnsre.2023.3243785,oa,showcase,13,/,4,primary,/,not reported,angular displacements,ad-hoc,completion,time_var,reported,Sports Physiatry and Orthopedics,hc,/,/,pat,lab,pattern recognition,PACE,Matlab,fPCA,fPCA,description,"text, 2d-plot"
Subramanian,2023,10.1109/tbme.2023.3285491,oa,showcase,13,/,3,primary,/,not reported,autonomic and gastric activity,clin,time,time,not reported,"gastro, endo","DM, gastric disorderds",phenotypes,multilevel,pat,lab,"pattern recognition, classification",/,"R, python",fPCA,fPCA,description,"text, 2d-plot"
Gregori-Pla,2023,10.1093/sleep/zsad122,oa,production,16,/,4,secondary,/,not reported,"Nasal airflow, heart rate, and lab",clin,time,time,not reported,"neuro, pneumo, oto",obstructive sleep apnea,/,/,sub-pat,lab,description,fda.usc,"R, Matlab",/,/,description,"text, 2d-plot"
Leroyer,2023,10.1038/s41598-022-21726-y,oa,production,36,/,1,primary,splines,not reported,RT dose,exam,organ exposure ,other,not reported,oncology and radiation oncology,prostate cancer,circulating microvesicles ,binary,pat,practice,estimate associations,refund,R,sofr,sofr,inference,"text, 2d-plot"
Park,2023,10.1093/sleep/zsad132,oa,production,23,/,1,primary,fourier,reported,motor activity,sens,time,time,not reported,psych,sleep disorder,questionnaire ,continous,pat,lab,estimate associations,/,python,/,/,inference,text
Clementi,2023,10.1371/journal.pone.0292450,oa,production,170,46000,1,secondary,/,not reported,gray mater connectivity,htt,volume,2d3dspace,reported,"psych, radiology",schizophrenia,diagnosis,binary,pat,lab,compare,fdaPDE,"R, Matlab",fPCA,fPCA,inference,"text, 2d-plot"
Yoon,2023,10.1186/s12938-023-01168-x,oa-m,new methods,833,/,3,public,/,reported,flexion angle,ad-hoc,completion,time_var,not reported,neuro,cerebral palsy,phenotypes,multilevel,sub-pat,lab,compare,fda.usc,R,"Sparse Functional Linear Discriminant Analysis, Functional Logistic Regression, Functional Support Vector Machine","fLDA, generalized functional regression, Functional Support Vector Machine",inference,"text, 2d-plot"
Yeung,2023,10.1186/s12966-023-01520-3,oa,showcase,1814,/,1,public,fourier,not reported,accelerometer,sens,time,time,not reported,nutrition,hc,/,/,pat,lab,"pattern recognition, classification",fda,R,fPCA,fPCA,description,"text, 2d-plot"
Winer,2023,10.3389/frsle.2023.1286124,oa,production,157,/,1,public,fourier,not reported,accelerometer,sens,time,time,not reported,physiology,sleep disorder,diagnosis,binary,pat,lab,compare,"fpca, nparACT","R, python",fPCA,fPCA,inference,"text, 2d-plot"
Seal,2023,10.1101/2023.07.06.548034,oa-m,new methods,19,/,250,public,/,not reported,cells,lab,space,2d3dspace,not reported,"oncology and radiation oncology, anatopato",colorectal polyps,diagnosis,binary,pat,lab,compare,spaceANOVA,R,"fPCA, fANOVA","fPCA, fANOVA",inference,"text, 2d-plot"
Silva,2023,10.9734/ajpas/2023/v21i1453,oa,production,79,/,1,public,B-splines,not reported,cases,clin,time,time,not reported,"epidemiology and public health, infec",COVID-19,diagnosis,binary,grp,practice,"pattern recognition, classification",/,R,k-mean clustering,K-mean clustering,inference,"text, 2d-plot"
Mullan,2023,10.1371/journal.pone.0292548,oa,production,206,300,20,primary,/,not reported,balance,ad-hoc,space and time,biv,not reported,Sports Physiatry and Orthopedics,gate disorders,diagnosis,binary,pat,lab,compare,/,R,functional logistic regression,generalized functional regression,inference,"text, 2d-plot"
Hęćka,2023,10.15611/eada.2023.3.02,oa,production,7,/,1,secondary,splines,reported,cases,clin,time,time,reported,"epidemiology and public health, infec",COVID-19,diagnosis,binary,grp,practice,pattern recognition,fda,R,fPCA,fPCA,description,"text, 2d-plot"
Bettini,2023,10.3390/nu15235003,oa,production,173,11,1,primary,fourier,not reported,eating habits,clin,time,time,not reported,nutrition,eating disorders,/,/,pat,lab,"pattern recognition, classification","fda, funHDDC",R,clustering,hierarchical clustering,description,"text, 2d-plot"
VanderDoes,2023,10.1101/2023.07.18.549619,preprint,new methods,33,/,1,secondary,/,not reported,cells,lab,space,2d3dspace,not reported,"oncology and radiation oncology, anatopato",breast cancer,diagnosis,binary,pat,lab,compare,funkycells,R,fPCA,fPCA,inference,text
Wang,2023,10.1016/j.engappai.2023.106788,oa-m,new methods,4000,/,/,public,PACE,reported/implicit,physiological measurements,sens,time,time,reported,intensive care,ICU,death,binary,pat,practice,outlier detection,"fda, fdapace, fdaoutlier",R,PACE,PACE,inference,"text, 2d-plot, performance"
Kang,2023,10.1007/s11222-023-10237-z,oa-m,new methods,11933,/,/,secondary,other,reported,multiple blood biomarkers,lab,time,time,not reported,endo,thyroid cancer,/,/,pat,practice,pattern recognition,/,/,/,/,description,"text, 2d-plot, 3d-plot"
Regis,2023,10.1093/jrsssc/qlad066,oa,showcase,30,/,1,primary,splines,not reported,photopletismography,exam,time,time,reported,cardio,atrial fibrilation,diagnosis,binary,pat,lab,classification,/,/,/,/,inference,"text, 2d-plot"
Banker,2023,10.1109/jbhi.2023.3318205,oa-m,new methods,354,/,/,secondary,/,not reported,accelerometer,sens,time,time,not reported,physiology,hc,/,/,pat,lab,changepoint detection,/,/,sofr,sofr,inference,"text, 2d-plot"
Lin,2023,10.1016/j.jfma.2023.08.001,oa,production,157,/,/,primary,/,not reported,accelerometer,sens,time,time,not reported,physiology,hc,/,/,pat,lab,estimate associations,mgcv,R,sofr,sofr,inference,"text, 2d-plot"
Liebl,2023,10.1093/jrsssb/qkad026,oa-m,new methods,18,/,/,secondary,/,not reported,torque,ad-hoc,space,2d3dspace,not reported,Sports Physiatry and Orthopedics,hc,shoe type,binary,sub-pat,lab,estimate associations,"fdatest, SIRF,  ffscb",R,difference mean,difference mean,inference,"text, 2d-plot"
Ries,2023,10.1002/sta4.595,oa,showcase,47,4000,1,primary,B-splines,not reported,heart rate,sens,time,time,not reported,Sports Physiatry and Orthopedics,hc,fatigue,binary,pat,lab,estimate associations,/,R,functional logistic regression,functional logistic regression,inference,"text, 2d-plot"
Sergazinov,2023,10.1111/biom.13878,oa,showcase,174,84,10,secondary,splines,not reported,glycemic levels,sens,time,time,not reported,endo,obstructive sleep apnea,severity index,continous,sub-pat,lab,estimate associations,refund,R,multilevel fosr,functional mixed model,inference,"text, 2d-plot"
Wang,2023,10.1111/sjos.12660,oa-m,new methods,124,7505,25,public,/,not reported,MRI,htt,space,2d3dspace,not reported,radiology,Alzheimer,diagnosis,binary,pat,practice,classification,/,R,/,/,inference,"text, 2d-plot"
Omata,2023,10.15748/jasse.10.214,oa,production,6,/,6,public,wavelets,reported/implicit,cases,clin,time,time,reported,"epidemiology and public health, infec",COVID-19,diagnosis,binary,grp,practice,pattern recognition,/,/,registration,registration,inference,"text, 2d-plot"
